mlbam_id,player_name,team,weekly_pa,weekly_ab,weekly_r,weekly_hr,weekly_rbi,weekly_sb,weekly_h,weekly_bb,weekly_hbp,weekly_sf,weekly_obp,weekly_ip,weekly_w,weekly_sv,weekly_k,weekly_er,weekly_pitch_h,weekly_pitch_bb,weekly_era,weekly_whip
678391,Jorbit Vivas,WSH,4,2,0,0,1,0,1,1,0,1,0.500,2.0,0,0,0,2,4,1,9.00,2.50
663855,Jordan Hicks,CWS,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,0,0,0,0,0.00,0.00
605447,Jordan Romano,COL,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,1,0,0,0,0.00,0.00
691023,Jordan Walker,STL,16,14,1,0,2,0,3,2,0,0,0.312,0.0,0,0,0,0,0,0,0.00,0.00
678489,Jorge Barrosa,AZ,1,1,1,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
622761,Jorge Mateo,ATL,1,1,1,0,0,0,1,0,0,0,1.000,0.0,0,0,0,0,0,0,0.00,0.00
593871,Jorge Polanco,NYM,4,4,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
624585,Jorge Soler,LAA,12,10,0,0,1,0,1,1,1,0,0.250,0.0,0,0,0,0,0,0,0.00,0.00
514888,Jose Altuve,HOU,13,13,2,1,1,0,3,0,0,0,0.231,0.0,0,0,0,0,0,0,0.00,0.00
642350,Jose Siri,LAA,4,3,0,0,0,0,1,0,1,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
624431,Jose Trevino,CIN,4,4,2,2,2,0,3,0,0,0,0.750,0.0,0,0,0,0,0,0,0.00,0.00
605137,Josh Bell,MIN,12,11,0,0,0,0,3,1,0,0,0.333,0.0,0,0,0,0,0,0,0.00,0.00
623352,Josh Hader,HOU,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,3,0,0,0,0.00,0.00
673962,Josh Jung,TEX,14,13,0,0,1,0,2,0,0,1,0.143,0.0,0,0,0,0,0,0,0.00,0.00
666139,Josh Lowe,LAA,6,4,0,0,1,0,0,1,0,0,0.200,0.0,0,0,0,0,0,0,0.00,0.00
647304,Josh Naylor,SEA,11,10,2,0,1,1,3,1,0,0,0.364,0.0,0,0,0,0,0,0,0.00,0.00
668942,Josh Rojas,KC,5,5,0,0,0,0,2,0,0,0,0.400,0.0,0,0,0,0,0,0,0.00,0.00
811965,Joshua Kuroda-Grauer,ATH,13,12,3,0,2,0,4,1,0,0,0.385,0.0,0,0,0,0,0,0,0.00,0.00
678606,José A. Ferrer,SEA,0,0,0,0,0,0,0,0,0,0,0.000,1.1,1,0,1,0,0,2,0.00,1.50
621237,José Alvarado,PHI,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,1,0,1,0,0.00,1.00
676609,José Caballero,NYY,8,7,0,0,0,1,0,1,0,0,0.125,0.0,0,0,0,0,0,0,0.00,0.00
820862,José Fermin,LAA,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,0,2,0,2,0,0.00,1.00
665877,José Fermín,STL,13,10,2,0,0,0,3,3,0,0,0.462,0.0,0,0,0,0,0,0,0.00,0.00
